,Year,Round,Seed 1,Seed 2,Team 1,Team 2,GP 1,GP 2,TO 1,TO 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
35,2025,R1,2,15,Tennessee,Wofford,34,34,10.5,10.9,2541,2561,2143,2374,74.7,75.3,63,69.8,79.4,55.9,34,34.1,,,
36,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
37,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
38,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
39,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
40,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
41,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
42,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
43,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
44,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
45,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
46,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
47,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
48,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
49,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
50,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
51,2025,R2,,,,,,,,,,,,,,,,,,,,,,,
52,2025,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,
53,2025,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,
54,2025,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,
55,2025,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,
56,2025,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,
57,2025,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,
58,2025,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,
59,2025,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,
60,2025,Elite 8,,,,,,,,,,,,,,,,,,,,,,,
61,2025,Elite 8,,,,,,,,,,,,,,,,,,,,,,,
62,2025,Elite 8,,,,,,,,,,,,,,,,,,,,,,,
63,2025,Elite 8,,,,,,,,,,,,,,,,,,,,,,,
64,2025,Final 4,,,,,,,,,,,,,,,,,,,,,,,
65,2025,Final 4,,,,,,,,,,,,,,,,,,,,,,,
66,2025,Championship,,,,,,,,,,,,,,,,,,,,,,,
